# started 2026-07-04T22:06:26.536745
# train_samples=5520 val_samples=1380
# loss_weights=(0.4, 0.4, 0.2)
# texture_aug=True
epoch	train_loss	val_loss	mae_rz_deg	mae_ry_deg	mae_rx_deg	mae_mean_deg
1	0.068279	0.039229	2.2256	2.3123	2.1623	2.2334
2	0.045721	0.042438	2.3137	2.7742	1.9819	2.3566
3	0.042021	0.031933	1.8747	1.8839	1.6310	1.7965
4	0.038957	0.032255	1.8466	1.7331	2.0812	1.8870
5	0.036698	0.029001	1.5392	1.8743	1.4811	1.6315
6	0.035730	0.029547	1.5783	2.0207	1.2665	1.6218
7	0.033712	0.032220	1.9038	1.7962	1.8304	1.8435
8	0.033165	0.025766	1.4680	1.5902	1.2649	1.4410
9	0.031535	0.026934	1.4684	1.6415	1.4963	1.5354
10	0.030484	0.027901	1.5210	1.8331	1.2847	1.5463
11	0.030018	0.028021	1.5725	1.7167	1.4490	1.5794
12	0.028631	0.024677	1.3849	1.5824	1.1348	1.3674
13	0.028085	0.028109	1.5190	1.8703	1.2740	1.5544
14	0.027921	0.026254	1.6894	1.5299	1.0827	1.4340
15	0.027098	0.028059	1.9604	1.5457	1.0260	1.5107
16	0.026934	0.025390	1.4321	1.5935	1.2226	1.4161
17	0.026037	0.026018	1.4136	1.7415	1.1435	1.4329
18	0.026289	0.024530	1.4148	1.5818	1.0340	1.3435
19	0.025368	0.026527	1.3190	1.8594	1.2426	1.4737
20	0.026052	0.025691	1.6275	1.5703	0.9644	1.3874
21	0.025033	0.025476	1.4797	1.6358	1.0671	1.3942
22	0.024663	0.024054	1.3528	1.6048	0.9756	1.3111
23	0.024537	0.024737	1.3486	1.6285	1.1323	1.3698
24	0.024360	0.025400	1.3846	1.7446	1.0181	1.3825
25	0.023638	0.024819	1.3405	1.7072	1.0147	1.3542
26	0.023366	0.024309	1.4681	1.5090	1.0098	1.3290
27	0.023482	0.025599	1.6691	1.5142	0.9668	1.3834
28	0.023120	0.023726	1.3587	1.5287	1.0221	1.3032
29	0.022629	0.024603	1.5110	1.5285	0.9692	1.3362
30	0.022818	0.025693	1.4961	1.5929	1.1826	1.4239
31	0.022856	0.023360	1.2630	1.5623	1.0416	1.2890
32	0.022684	0.024828	1.4658	1.5496	1.0820	1.3658
33	0.022321	0.025060	1.5485	1.5580	0.9662	1.3576
34	0.022434	0.028025	1.8849	1.5904	1.0780	1.5178
35	0.022620	0.023933	1.3479	1.5644	1.0319	1.3147
36	0.022120	0.023402	1.2682	1.5185	1.1309	1.3058
37	0.021264	0.024922	1.4495	1.5179	1.2047	1.3907
38	0.022040	0.023323	1.2784	1.5996	0.9254	1.2678
39	0.022070	0.022943	1.2842	1.5160	0.9723	1.2575
40	0.021788	0.024709	1.5027	1.5139	1.0452	1.3540
41	0.021318	0.024828	1.5403	1.5051	1.0219	1.3558
42	0.021392	0.025138	1.5218	1.6224	0.9132	1.3525
43	0.021437	0.024727	1.5567	1.5028	0.9648	1.3414
44	0.021996	0.024979	1.4805	1.5863	1.0223	1.3630
45	0.021319	0.025768	1.5464	1.6303	1.0286	1.4018
46	0.020946	0.026793	1.6319	1.5739	1.2643	1.4900
47	0.021390	0.022709	1.2050	1.5974	0.9007	1.2344
48	0.020607	0.024438	1.4453	1.5598	0.9906	1.3319
49	0.020360	0.024131	1.2832	1.6303	1.0858	1.3331
50	0.020695	0.024838	1.5087	1.5146	1.0689	1.3641
51	0.020496	0.023167	1.1860	1.5249	1.2150	1.3086
52	0.020370	0.023404	1.2850	1.5272	1.0804	1.2975
53	0.020115	0.023501	1.3546	1.5329	0.9576	1.2817
54	0.020449	0.024782	1.5085	1.5517	0.9790	1.3464
55	0.020148	0.023402	1.2200	1.5712	1.1218	1.3043
56	0.020429	0.024008	1.4087	1.5769	0.9065	1.2974
57	0.020628	0.025114	1.4253	1.5904	1.1634	1.3930
58	0.020876	0.022702	1.3223	1.4050	1.0490	1.2588
59	0.019981	0.024838	1.5176	1.5498	0.9808	1.3494
60	0.020200	0.023080	1.3717	1.4847	0.8990	1.2518
61	0.020808	0.024462	1.4276	1.5363	1.0799	1.3479
62	0.019946	0.023708	1.4423	1.4681	0.9709	1.2938
63	0.019938	0.024013	1.4007	1.5343	1.0091	1.3147
64	0.019644	0.023503	1.4030	1.4771	0.9729	1.2843
65	0.019493	0.024197	1.4013	1.5738	0.9817	1.3189
66	0.019911	0.023294	1.3267	1.4940	1.0318	1.2842
67	0.019444	0.022386	1.2010	1.5414	0.9286	1.2236
68	0.019481	0.025059	1.3718	1.6920	1.0511	1.3716
69	0.018871	0.024375	1.3706	1.5512	1.1395	1.3538
70	0.019654	0.024315	1.4890	1.5281	0.9314	1.3162
71	0.019063	0.023691	1.4016	1.4770	1.0298	1.3028
72	0.019430	0.023667	1.2666	1.6634	0.9202	1.2834
73	0.019910	0.025500	1.5888	1.5800	0.9675	1.3788
74	0.019723	0.024216	1.5046	1.5171	0.8941	1.3053
75	0.018971	0.024469	1.5861	1.4226	0.9924	1.3337
76	0.019334	0.022971	1.2746	1.5011	1.0295	1.2684
77	0.018648	0.024129	1.4924	1.4806	0.9664	1.3131
78	0.019619	0.023914	1.3460	1.5829	0.9931	1.3073
79	0.018851	0.024956	1.4378	1.5433	1.1872	1.3894
80	0.018972	0.023459	1.2411	1.5755	1.0873	1.3013
81	0.018893	0.023502	1.4156	1.4780	0.9456	1.2797
82	0.019215	0.022090	1.1809	1.5118	0.9430	1.2119
83	0.018708	0.023997	1.4593	1.5001	0.9559	1.3051
84	0.018360	0.025138	1.6071	1.5170	0.9534	1.3592
85	0.019210	0.025632	1.5903	1.5711	1.0201	1.3938
86	0.018906	0.023912	1.3569	1.5465	1.0436	1.3157
87	0.018822	0.025241	1.5513	1.5860	0.9564	1.3646
88	0.019145	0.023809	1.3730	1.5060	1.0629	1.3139
89	0.018563	0.026069	1.7275	1.5263	0.9606	1.4048
90	0.018303	0.024186	1.3647	1.6055	0.9882	1.3195
91	0.018331	0.024811	1.4402	1.6153	0.9967	1.3507
92	0.019135	0.024675	1.4943	1.5564	0.9675	1.3394
93	0.018620	0.025096	1.4196	1.5678	1.2148	1.4007
94	0.018159	0.023706	1.3984	1.5328	0.9287	1.2866
95	0.018091	0.023763	1.4209	1.4823	1.0012	1.3015
96	0.018263	0.023130	1.3137	1.5365	0.9260	1.2587
97	0.018574	0.024013	1.3899	1.5402	1.0190	1.3164
98	0.017980	0.022785	1.3579	1.4769	0.8578	1.2309
99	0.018305	0.024901	1.4576	1.5721	1.0742	1.3680
100	0.018157	0.024130	1.4060	1.4918	1.1171	1.3383
