started=2026-07-04T10:47:14.001203
train=6830 val=759
epoch	train_loss	val_acc	val_prec	val_rec
1	0.3135	0.9644	0.9552	0.9919
2	0.1171	0.9802	0.9938	0.9757
3	0.0813	0.9816	0.9938	0.9777
4	0.0602	0.9881	0.9939	0.9879
5	0.0520	0.9842	0.9979	0.9777
6	0.0421	0.9895	0.9899	0.9939
7	0.0367	0.9908	0.9939	0.9919
8	0.0303	0.9947	1.0000	0.9919
9	0.0254	0.9934	0.9920	0.9980
10	0.0214	0.9776	1.0000	0.9656
11	0.0212	0.9934	0.9939	0.9960
12	0.0151	0.9921	0.9919	0.9960
13	0.0198	0.9947	0.9940	0.9980
14	0.0103	0.9934	0.9980	0.9919
15	0.0116	0.9947	0.9920	1.0000
